iter	Passed	Remaining
178	39348	400296
179	39532	399714
180	39793	399909
181	39982	399388
182	40218	399326
183	40433	399058
184	40666	398976
185	40907	398955
186	41098	398461
187	41280	397871
188	41487	397536
189	41690	397155
190	41902	396869
191	42088	396334
192	42280	395861
193	42513	395769
194	42730	395527
195	42931	395146
196	43138	394818
197	43383	394833
198	43599	394584
199	43811	394305
200	44040	394171
201	44249	393861
202	44458	393560
203	44648	393083
204	44837	392604
205	45056	392387
206	45247	391926
207	45429	391393
208	45677	391424
209	45872	391006
210	46114	390986
211	46340	390834
212	46565	390666
213	46788	390483
214	46978	390027
215	47186	389722
216	47446	389846
217	47670	389671
218	47885	389421
219	48102	389192
220	48312	388906
221	48512	388535
222	48797	388844
223	49022	388678
224	49257	388586
225	49454	388199
226	49695	388150
227	49920	387981
228	50108	387522
229	50335	387362
230	50539	387028
231	50787	387032
232	51008	386834
233	51195	386372
234	51380	385896
235	51576	385510
236	51762	385048
237	51972	384768
238	52155	384289
239	52387	384175
240	52627	384118
241	52838	383840
242	53026	383404
243	53233	383108
244	53440	382810
245	53695	382853
246	53901	382546
247	54126	382380
248	54354	382227
249	54563	381942
250	54769	381640
251	54956	381204
252	55183	381047
253	55386	380727
254	55568	380263
255	55755	379835
256	55946	379435
257	56144	379081
258	56355	378821
259	56537	378365
260	56768	378239
261	56987	378028
262	57171	377594
263	57367	377236
264	57566	376895
265	57799	376784
266	57990	376395
267	58198	376117
268	58385	375710
269	58593	375431
270	58778	375010
271	59021	374960
272	59214	374593
273	59394	374144
274	59590	373791
275	59817	373640
276	60050	373527
277	60233	373098
278	60441	372828
279	60633	372462
280	60847	372228
281	61080	372112
282	61297	371899
283	61512	371675
284	61722	371415
285	61922	371104
286	62159	371009
287	62342	370590
288	62636	370836
289	62848	370590
290	63050	370287
291	63246	369947
292	63461	369720
293	63653	369361
294	63873	369168
295	64072	368850
296	64270	368528
297	64471	368223
298	64717	368175
299	64905	367795
300	65085	367378
301	65272	366997
302	65458	366608
303	65651	366263
304	65830	365844
305	66017	365471
306	66198	365063
307	66409	364822
308	66634	364657
309	66830	364331
310	67014	363946
311	67218	363668
312	67404	363294
313	67666	363330
314	67876	363087
315	68121	363024
316	68336	362809
317	68518	362413
318	68753	362302
319	68934	361905
320	69119	361532
321	69313	361203
322	69502	360855
323	69718	360644
324	69958	360556
325	70166	360305
326	70350	359927
327	70564	359707
328	70770	359444
329	70958	359093
330	71153	358777
331	71349	358466
332	71543	358149
333	71757	357927
334	71949	357601
335	72171	357419
336	72351	357036
337	72535	356667
338	72737	356394
339	72985	356340
340	73179	356026
341	73427	355974
342	73682	355954
343	73861	355565
344	74042	355188
345	74237	354878
346	74463	354719
347	74659	354419
348	74863	354155
349	75067	353891
350	75247	353514
351	75430	353153
352	75708	353233
353	75897	352904
354	76079	352539
355	76261	352175
356	76468	351925
357	76728	351922
358	76957	351776
359	77156	351489
360	77383	351332
361	77602	351141
362	77843	351045
363	78052	350806
364	78234	350447
365	78436	350176
366	78686	350120
367	78880	349817
368	79127	349747
369	79356	349596
370	79649	349729
371	79864	349514
372	80061	349220
373	80271	348988
374	80502	348846
375	80707	348589
376	80892	348246
377	81080	347917
378	81305	347748
379	81505	347470
380	81739	347338
381	81925	347003
382	82136	346773
383	82343	346530
384	82599	346487
385	82801	346222
386	83033	346080
387	83228	345786
388	83427	345506
389	83634	345259
390	83846	345035
391	84079	344898
392	84268	344579
393	84477	344343
394	84759	344404
395	84980	344213
396	85165	343881
397	85358	343579
398	85652	343683
